カード名称,セゾンゴールド・アメリカン・エキスプレス・カード,,,,,,,,,
お支払日,2025/11/4,,,,,,,,,
今回ご請求額,"222,212",,,,,,,,,
,,,,,,,,,,
利用日,ご利用店名及び商品名,本人・家族区分,支払区分名称,締前入金区分,利用金額,英希,由利子,洋文,,備考
2025/8/31,ドコモご利用料金,,1回,,"8,171",,"8,171",,"8,171",
2025/9/1,モバイル保険,,1回,,700,700,,,700,
2025/9/1,Voicy,,1回,,980,980,,,980,
2025/9/2,Voicy,,1回,,990,990,,,990,
2025/9/8,東京ガス 1888-822-1050,1,1回,,"5,025",,"5,025",,"5,025",
2025/9/9,ZOZOTOWN,1,1回,,"1,530",,"1,530",,"1,530",
2025/9/11,神奈川県営水道上下水道料金,1,1回,,"10,605",,"10,605",,"10,605",
2025/9/12,ブックオフ公式オンラインストア,,1回,,"1,815","1,815",,,"1,815",
2025/9/14,DEEPL* SUB:2756208 CUS,,1回,,"1,200","1,200",,,"1,200",
2025/9/20,WRAPTAS - PERAICHI INC,,1回,,"1,078","1,078",,,"1,078",
2025/9/21,アマゾン JP マーケットプレイス,1,1回,,"4,341",,"4,341",,"4,341",
2025/9/21,ZOOM.COM 888-799-9666,1,1回,,"2,484",,"2,484",,"2,484",
2025/9/22,Audible an Amazon Compan,,1回,,"1,500","1,500",,,"1,500",
2025/9/23,Netflix(同),,1回,,"1,190",595,595,,"1,190",
2025/9/23,パルシステム神奈川〔増資等〕,,1回,,800,,800,,800,
2025/9/23,パルシステム神奈川〔共済掛金〕,,1回,,"9,360",,"9,360",,"9,360",
2025/9/23,パルシステム神奈川〔電力〕,,1回,,"17,440",,"17,440",,"17,440",
2025/9/23,パルシステム神奈川〔宅配利用代金〕,,1回,,"86,488",,"86,488",,"86,488",
2025/9/24,NTT東日本ご利用料金,,1回,,"7,022",,"7,022",,"7,022",
2025/9/25,Apple iTunes Store,,1回,,150,,150,,150,
2025/9/26,Sekiharapasta&wine,,1回,,"13,070","13,070",,,"13,070",
2025/9/27,アマゾン JP マーケットプレイス,1,1回,,"1,550",,"1,550",,"1,550",
2025/9/27,アマゾン JP マーケットプレイス,1,1回,,"1,480",,"1,480",,"1,480",
2025/9/28,Apple iTunes Store,,1回,,150,,,150,150,
2025/9/28,東急電鉄定期券,,1回,,"21,130","21,130",,,"21,130",
2025/10/1,まぐまぐ!,,1回,,880,880,,,880,
2025/10/1,アフラック,,1回,,"3,120",,"3,120",,"3,120",
2025/10/2,Apple iTunes Store,,1回,,150,150,,,150,
2025/10/2,メルカリ -東京都 港区,1,1回,,"3,800",,"3,800",,"3,800",
2025/10/3,Apple iTunes Store,,1回,,"1,680",840,,840,"1,680",
2025/10/3,イオンリテール,1,1回,,"2,391",,"2,391",,"2,391",
2025/10/3,WEBLIO.CO.JP,1,1回,,330,,330,,330,
2025/10/4,ZOZOTOWN,1,1回,,"3,230",,"3,230",,"3,230",
2025/10/6,アマゾン JP マーケットプレイス,1,1回,,"2,928",,"2,928",,"2,928",
2025/10/8,OPENAI *CHATGPT SUBSCR,,1回,,"3,454","3,454",,,"3,454",現地通貨額:22.00 USD
,,,,,"222,212","48,382","172,840",990,"222,212",
