カード名称,セゾンゴールド・アメリカン・エキスプレス・カード
お支払日,2025/09/04
今回ご請求額,0000248821

利用日,ご利用店名及び商品名,本人・家族区分,支払区分名称,締前入金区分,利用金額,備考
2025/06/28,ETC特別割引 (木更津第一→木更津第一),,1回,,800,
2025/06/29,ETC特別割引 (木更津金田→木更津金田),,1回,,400,
2025/06/30,ドコモご利用料金,,1回,,7734,
2025/07/01,モバイル保険,,1回,,700,
2025/07/05,ETC環境割引 (横新狩場接→湾東アク接),,1回,,950,
2025/07/05,ETC特別割引 (木更津第一→木更津第一),,1回,,800,
2025/07/05,ETC特別割引 (富士吉田西→相模湖),,1回,,910,
2025/07/06,ETC特別割引 (木更津金田→木更津金田),,1回,,400,
2025/07/08,東京ガス 1888-822-1050,1,1回,,6216,
2025/07/11,東急電鉄定期券,,1回,,21130,
2025/07/12,神奈川県営水道上下水道料金,1,1回,,11287,
2025/07/13,Voicy,,1回,,980,
2025/07/14,DEEPL* SUB:2756208 CUS,,1回,,1200,
2025/07/15,バジェット・レンタカー那覇空港店,,1回,,25480,
2025/07/16,アマゾン JP マーケットプレイス,1,1回,,-1238,
2025/07/18,うるマルシェ,,1回,,3737,
2025/07/18,ライブハウス島唄,,1回,,9910,
2025/07/18,ENEOS,,1回,,5441,
2025/07/19,ETC深夜割引 (横浜町田→大紀本線),,1回,,7070,
2025/07/19,アマゾン シーオージェーピー,1,1回,,1622,
2025/07/19,京浜急行バス,1,1回,,3400,
2025/07/20,WRAPTAS - PERAICHI INC,,1回,,1078,
2025/07/21,ETC深夜割引 (大紀本線→横浜町田),,1回,,7070,
2025/07/21,ZOOM.COM 888-799-9666,1,1回,,2484,
2025/07/22,Audible an Amazon Compan,,1回,,1500,
2025/07/22,パルシステム神奈川〔増資等〕,,1回,,800,
2025/07/22,パルシステム神奈川〔共済掛金〕,,1回,,9360,
2025/07/22,パルシステム神奈川〔電力〕,,1回,,11222,
2025/07/22,パルシステム神奈川〔宅配利用代金〕,,1回,,77947,
2025/07/24,NTT東日本ご利用料金,,1回,,7354,
2025/07/24,Netflix(同) -東京都 港区,,1回,,1190,
2025/07/25,Apple iTunes Store,,1回,,150,
2025/07/26,ETC特別割引 (圏央厚木→河口湖),,1回,,1920,
2025/07/26,ANTHROPIC,,1回,,767,現地通貨額:5.00 USD
,(SAN FRANCISCO),,,,,円換算レート:7/26 153.4000
2025/07/28,Apple iTunes Store,,1回,,150,
2025/07/29,アマゾン シーオージェーピー,,1回,,698,
2025/08/01,まぐまぐ!,,1回,,880,
2025/08/01,アフラック,,1回,,3120,
2025/08/02,Apple iTunes Store,,1回,,150,
2025/08/03,Apple iTunes Store,,1回,,1680,
2025/08/04,アマゾン JP マーケットプレイス,,1回,,1074,
2025/08/04,アマゾン JP マーケットプレイス,,1回,,1580,
2025/08/04,WEBLIO.CO.JP,1,1回,,330,
2025/08/08,OPENAI *CHATGPT SUBSCR,,1回,,3371,現地通貨額:22.00 USD
,(SAN FRANCISCO),,,,,円換算レート:8/08 153.2273
2025/08/10,ヨドバシ・ドット・コム,,1回,,4017,
